1.00,0,0
2.00,0,0
3.00,0,1
3.50,0,2
4.00,0,0
5.00,1,0
6.00,1,0
7.00,1,1
7.50,1,2
8.00,1,0
9.00,1,0
10.00,1,0
11.00,1,1
11.50,1,2
12.00,1,0
13.00,1,0
14.00,1,0
15.00,1,1
15.50,1,2
16.00,1,0
17.00,0,0
17.50,0,0
18.00,0,1
18.25,0,1
18.50,0,2
18.75,0,2
19.00,0,0
21.00,1,0
21.50,1,0
22.00,1,1
22.25,1,1
22.50,1,2
22.75,1,2
23.00,1,0
25.00,1,0
25.50,1,0
26.00,1,1
26.25,1,1
26.50,1,2
26.75,1,2
27.00,1,0
28.00,0,0
28.25,0,1
28.50,0,2
29.00,1,0
29.25,1,2
29.50,1,1
30.00,1,0
30.25,1,2
30.50,1,1
31.00,1,0
31.25,1,2
31.50,1,1
32.00,1,0
32.25,1,2
32.50,1,1
33.00,0,1
33.25,0,0
33.50,0,2
33.75,0,0
34.00,0,0
35.00,1,1
35.25,1,0
35.50,1,2
35.75,1,0
36.00,1,0
